P,tau2,s2,mu_ce,var_ce,se_ce,ef_ce,mu_eis,var_eis,se_eis,ef_eis,var_ratio,se_var_ratio
GMM_location_1.00,2.0,1.125,0.0,1.7764777,2.3675918e-06,75.69129,0.0,0.3794701,5.2388253e-07,75.69129,0.21360815,0.0027583076
GMM_location_1.00,2.0,1.15,0.0,1.7378584,2.316121e-06,77.87607,0.0,0.34738448,4.79244e-07,77.87607,0.19989228,0.0025598954
GMM_location_1.00,2.0,1.175,0.0,1.700883,2.266842e-06,79.83034,0.0,0.3175704,4.3779252e-07,79.83034,0.18670914,0.002370178
GMM_location_1.00,2.0,1.2,0.0,1.6654478,2.219616e-06,81.58527,0.0,0.28988525,3.993293e-07,81.58527,0.17405844,0.0021891715
GMM_location_1.00,2.0,1.225,0.0,1.6314589,2.1743176e-06,83.16724,0.0,0.2641993,3.6367317e-07,83.16724,0.16194052,0.0020168968
GMM_location_1.00,2.0,1.25,0.0,1.5988297,2.130832e-06,84.59853,0.0,0.24039236,3.30657e-07,84.59853,0.15035519,0.0018533821
GMM_location_1.00,2.0,1.275,0.0,1.5674802,2.08905e-06,85.8977,0.0,0.21835391,3.0012635e-07,85.8977,0.1393025,0.0016986567
GMM_location_1.00,2.0,1.3,0.0,1.5373362,2.0488765e-06,87.080215,0.0,0.19798182,2.7193948e-07,87.080215,0.12878238,0.0015527576
GMM_location_1.00,2.0,1.3249999,0.0,1.50833,2.0102186e-06,88.15906,0.0,0.17918202,2.4596534e-07,88.15906,0.11879498,0.0014157287
GMM_location_1.00,2.0,1.3499999,0.0,1.480398,1.972992e-06,89.14503,0.0,0.16186702,2.2208279e-07,89.14503,0.1093402,0.0012876207
GMM_location_1.00,2.0,1.375,0.0,1.4534817,1.9371191e-06,90.04742,0.0,0.14595558,2.0017863e-07,90.04742,0.1004179,0.0011684924
GMM_location_1.00,2.0,1.3999999,0.0,1.4275268,1.9025281e-06,90.87406,0.0,0.13137303,1.8014944e-07,90.87406,0.09202842,0.0010584147
GMM_location_1.00,2.0,1.425,0.0,1.4024824,1.8691507e-06,91.631714,0.0,0.11804894,1.6189732e-07,91.631714,0.08417143,0.0009574622
GMM_location_1.00,2.0,1.45,0.0,1.3783014,1.8369229e-06,92.32625,0.0,0.105918355,1.4533175e-07,92.32625,0.076847024,0.00086571305
GMM_location_1.00,2.0,1.4749999,0.0,1.3549407,1.8057892e-06,92.96278,0.0,0.0949208,1.3036791e-07,92.96278,0.07005532,0.0007832468
GMM_location_1.00,2.0,1.5,0.0,1.3323581,1.775693e-06,93.545906,0.0,0.08499941,1.1692531e-07,93.545906,0.06379622,0.00071012514
GMM_location_1.00,2.0,1.5250001,0.0,1.3105161,1.7465837e-06,94.079636,0.0,0.07610136,1.0492781e-07,94.079636,0.058069766,0.0006463775
