ags_work,ags_home,total
01002,09274,0
01002,09275,0
01002,09276,0
01002,09277,0
01002,09278,0
01002,09279,0
01002,09361,0
01002,09362,0
01002,09363,0
01002,09371,0
01002,09372,0
01002,09373,0
01002,09374,0
01002,09375,0
01002,09376,0
01002,09377,0
01002,09461,0
01002,09462,0
01002,09463,0
01002,09464,0
01002,09471,0
01002,09472,0
01002,09473,0
01002,09474,0
01002,09475,0
01002,09476,0
01002,09477,0
01002,09478,0
01002,09479,0
01002,09561,0
01002,09562,0
01002,09563,0
01002,09564,23
01002,09565,0
01002,09571,0
01002,09572,0
01002,09573,0
01002,09574,0
01002,09575,0
01002,09576,0
01002,09577,0
01002,09661,0
01002,09662,0
01002,09663,0
01002,09671,0
01002,09672,0
01002,09673,0
01002,09674,0
01002,09675,0
01002,09676,0
01002,09677,0
01002,09678,0
01002,09679,0
01002,09761,0
01002,09762,0
01002,09763,0
01002,09764,0
01002,09771,0
01002,09772,11
01002,09773,0
01002,09774,0
01002,09775,0
01002,09776,0
01002,09777,0
01002,09778,0
01002,09779,0
01002,09780,0
01002,10041,11
01002,10042,0
01002,10043,0
01002,10044,0
01002,10045,0
01002,10046,0
01002,11000,460
01002,12051,0
01002,12052,0
01002,12053,0
01002,12054,23
01002,12060,16
01002,12061,11
01002,12062,0
01002,12063,0
01002,12064,0
01002,12065,22
01002,12066,0
01002,12067,0
01002,12068,0
01002,12069,22
01002,12070,14
01002,12071,0
01002,12072,15
01002,12073,0
01002,13003,102
01002,13004,62
01002,13071,55
01002,13072,90
01002,13073,94
01002,13074,243
01002,13075,95
01002,13076,87
01002,14511,0
01002,14521,0
01002,14522,0
01002,14523,0
01002,14524,0
01002,14612,52
01002,14625,0
01002,14626,0
01002,14627,13
01002,14628,15
01002,14713,72
01002,14729,16
01002,14730,0
01002,15001,0
01002,15002,10
01002,15003,16
01002,15081,16
01002,15082,0
01002,15083,0
01002,15084,0
01002,15085,13
01002,15086,0
01002,15087,0
01002,15088,15
01002,15089,0
01002,15090,20
01002,15091,0
01002,16051,28
01002,16052,15
01002,16053,0
01002,16054,0
01002,16055,0
01002,16061,0
01002,16062,0
01002,16063,0
01002,16064,0
01002,16065,0
01002,16066,0
01002,16067,0
01002,16068,0
01002,16069,0
01002,16070,0
01002,16071,0
01002,16072,0
01002,16073,0
01002,16074,0
01002,16075,0
01002,16076,0
01002,16077,0
01003,01001,107
01003,01002,1152
01003,01003,0
01003,01004,201
01003,01051,190
01003,01053,5637
01003,01054,72
01003,01055,14165
01003,01056,245
01003,01057,477
01003,01058,413
01003,01059,92
01003,01060,1991
01003,01061,123
01003,01062,4236
01003,02000,2257
01003,03101,35
01003,03102,0
01003,03103,0
01003,03151,20
01003,03153,20
01003,03154,0
01003,03155,0
01003,03157,18
01003,03158,11
01003,03159,23
01003,03241,191
01003,03251,48
01003,03252,13
01003,03254,27
01003,03255,0
01003,03256,18
01003,03257,22
01003,03351,117
01003,03352,25
01003,03353,147
01003,03354,44
01003,03355,100
01003,03356,13
01003,03357,43
01003,03358,41
01003,03359,72
01003,03360,26
01003,03361,31
01003,03401,21
01003,03402,0
01003,03403,28
01003,03404,24
01003,03405,0
01003,03451,27
01003,03452,34
01003,03453,98
01003,03454,271
01003,03455,0
01003,03456,0
01003,03457,16
01003,03458,76
01003,03459,70
01003,03460,107
01003,03461,17
01003,03462,0
01003,04011,131
01003,04012,20
01003,05111,42
01003,05112,15
01003,05113,25
01003,05114,14
01003,05116,24
01003,05117,0
01003,05119,27
01003,05120,0
01003,05122,12
01003,05124,11
01003,05154,20
01003,05158,17
01003,05162,0
01003,05166,13
01003,05170,12
01003,05314,17
01003,05315,51
01003,05316,0
01003,05334,27
01003,05358,0
01003,05362,31
01003,05366,0
01003,05370,16
01003,05374,0
01003,05378,0
01003,05382,25
01003,05512,0
01003,05513,0
01003,05515,21
01003,05554,0
01003,05558,0
01003,05562,29
01003,05566,83
01003,05570,17
01003,05711,15
01003,05754,56
01003,05758,11
01003,05762,0
01003,05766,19
01003,05770,23
01003,05774,18
01003,05911,14
01003,05913,59
01003,05914,0
01003,05915,10
01003,05916,0
01003,05954,24
01003,05958,0
01003,05962,21
01003,05966,0
01003,05970,24
01003,05974,20
01003,05978,20
01003,06411,34
01003,06412,84
01003,06413,17
01003,06414,14
01003,06431,0
01003,06432,17
01003,06433,12
01003,06434,0
01003,06435,15
01003,06436,11
01003,06437,0
01003,06438,19
01003,06439,0
01003,06440,47
01003,06531,42
01003,06532,0
01003,06533,0
01003,06534,11
01003,06535,0
01003,06611,13
01003,06631,13
01003,06632,0
01003,06633,13
01003,06634,0
01003,06635,0
01003,06636,0
01003,07111,0
01003,07131,0
01003,07132,0
01003,07133,15
01003,07134,0
01003,07135,0
01003,07137,11
01003,07138,0
01003,07140,0
01003,07141,0
01003,07143,11
01003,07211,0
01003,07231,0
01003,07232,0
01003,07233,0
01003,07235,0
01003,07311,0
01003,07312,0
01003,07313,0
01003,07314,0
01003,07315,0
01003,07316,0
01003,07317,0
01003,07318,0
01003,07319,10
01003,07320,0
01003,07331,39
01003,07332,0
01003,07333,0
01003,07334,0
01003,07335,0
01003,07336,0
01003,07337,0
01003,07338,0
01003,07339,11
01003,07340,0
01003,08111,29
01003,08115,0
01003,08116,18
01003,08117,0
01003,08118,30
01003,08119,25
01003,08121,0
01003,08125,13
01003,08126,0
01003,08127,50
01003,08128,0
01003,08135,0
01003,08136,12
01003,08211,0
01003,08212,10
01003,08215,12
01003,08216,0
01003,08221,12
01003,08222,14
01003,08225,0
01003,08226,15
01003,08231,0
01003,08235,0
01003,08236,0
01003,08237,0
01003,08311,10
01003,08315,12
01003,08316,0
01003,08317,11
01003,08325,10
01003,08326,0
01003,08327,0
01003,08335,0
01003,08336,0
01003,08337,0
01003,08415,15
01003,08416,0
01003,08417,0
01003,08421,0
01003,08425,0
01003,08426,0
01003,08435,0
01003,08436,0
01003,08437,0
01003,09161,0
01003,09162,51
01003,09163,0
01003,09171,0
01003,09172,0
01003,09173,0
01003,09174,0
01003,09175,0
01003,09176,0
01003,09177,0
01003,09178,0
01003,09179,0
01003,09180,0
01003,09181,0
01003,09182,0
01003,09183,48
01003,09184,10
01003,09185,0
01003,09186,0
01003,09187,0
01003,09188,0
01003,09189,0
01003,09190,0
01003,09261,0
01003,09262,0
01003,09263,32
01003,09271,0
01003,09272,0
01003,09273,0
01003,09274,0
01003,09275,0
01003,09276,0
01003,09277,0
01003,09278,10
01003,09279,0
01003,09361,0
01003,09362,11
01003,09363,0
01003,09371,0
01003,09372,0
01003,09373,27
01003,09374,0
01003,09375,0
01003,09376,0
01003,09377,0
01003,09461,0
01003,09462,0
01003,09463,0
01003,09464,0
01003,09471,0
01003,09472,0
01003,09473,0
01003,09474,0
01003,09475,0
01003,09476,0
01003,09477,0
01003,09478,0
01003,09479,0
01003,09561,0
01003,09562,0
01003,09563,17
01003,09564,31
01003,09565,0
01003,09571,10
01003,09572,0
01003,09573,0
01003,09574,0
01003,09575,0
01003,09576,0
01003,09577,0
01003,09661,0
01003,09662,0
01003,09663,0
01003,09671,15
01003,09672,0
01003,09673,0
01003,09674,0
01003,09675,0
01003,09676,0
01003,09677,0
01003,09678,16
01003,09679,0
01003,09761,13
01003,09762,0
01003,09763,0
01003,09764,0
01003,09771,0
01003,09772,10
01003,09773,0
01003,09774,0
01003,09775,0
01003,09776,0
01003,09777,0
01003,09778,0
01003,09779,0
01003,09780,0
01003,10041,23
01003,10042,0
01003,10043,0
01003,10044,0
01003,10045,0
01003,10046,0
01003,11000,315
01003,12051,12
01003,12052,0
01003,12053,0
01003,12054,26
01003,12060,12
01003,12061,0
01003,12062,0
01003,12063,0
01003,12064,0
01003,12065,12
01003,12066,0
01003,12067,26
01003,12068,14
01003,12069,17
01003,12070,36
01003,12071,0
01003,12072,18
01003,12073,0
01003,13003,159
01003,13004,163
01003,13071,42
01003,13072,190
01003,13073,90
01003,13074,6704
01003,13075,68
01003,13076,363
01003,14511,0
01003,14521,0
01003,14522,0
01003,14523,0
