s,a,k,h,I
2022-12-15,35-59,3,37,89851
2022-12-15,60-79,3,108,38913
2022-12-15,80+,3,161,17338
2022-12-15,00-04,4,5,1348
2022-12-15,05-14,4,0,5084
2022-12-15,15-34,4,4,46805
2022-12-15,35-59,4,14,89851
2022-12-15,60-79,4,73,38913
2022-12-15,80+,4,78,17338
2022-12-15,00-04,5,0,1348
2022-12-15,05-14,5,0,5084
2022-12-15,15-34,5,7,46805
2022-12-15,35-59,5,11,89851
2022-12-15,60-79,5,19,38913
2022-12-15,80+,5,31,17338
2022-12-15,00-04,6,0,1348
2022-12-15,05-14,6,0,5084
2022-12-15,15-34,6,1,46805
2022-12-15,35-59,6,6,89851
2022-12-15,60-79,6,9,38913
2022-12-15,80+,6,23,17338
2022-12-15,00-04,7,0,1348
2022-12-15,05-14,7,0,5084
2022-12-15,15-34,7,1,46805
2022-12-15,35-59,7,13,89851
2022-12-15,60-79,7,20,38913
2022-12-15,80+,7,32,17338
2022-12-16,00-04,0,132,1422
2022-12-16,05-14,0,38,5070
2022-12-16,15-34,0,458,48493
2022-12-16,35-59,0,1293,92863
2022-12-16,60-79,0,3347,40368
2022-12-16,80+,0,4222,17955
2022-12-16,00-04,1,21,1422
2022-12-16,05-14,1,4,5070
2022-12-16,15-34,1,101,48493
2022-12-16,35-59,1,215,92863
2022-12-16,60-79,1,627,40368
2022-12-16,80+,1,776,17955
2022-12-16,00-04,2,5,1422
2022-12-16,05-14,2,3,5070
2022-12-16,15-34,2,9,48493
2022-12-16,35-59,2,50,92863
2022-12-16,60-79,2,144,40368
2022-12-16,80+,2,168,17955
2022-12-16,00-04,3,2,1422
2022-12-16,05-14,3,1,5070
2022-12-16,15-34,3,1,48493
2022-12-16,35-59,3,32,92863
2022-12-16,60-79,3,105,40368
2022-12-16,80+,3,142,17955
2022-12-16,00-04,4,3,1422
2022-12-16,05-14,4,0,5070
2022-12-16,15-34,4,6,48493
2022-12-16,35-59,4,21,92863
2022-12-16,60-79,4,65,40368
2022-12-16,80+,4,79,17955
2022-12-16,00-04,5,0,1422
2022-12-16,05-14,5,0,5070
2022-12-16,15-34,5,4,48493
2022-12-16,35-59,5,11,92863
2022-12-16,60-79,5,17,40368
2022-12-16,80+,5,30,17955
2022-12-16,00-04,6,0,1422
2022-12-16,05-14,6,0,5070
2022-12-16,15-34,6,2,48493
2022-12-16,35-59,6,5,92863
2022-12-16,60-79,6,13,40368
2022-12-16,80+,6,28,17955
2022-12-16,00-04,7,0,1422
2022-12-16,05-14,7,0,5070
2022-12-16,15-34,7,0,48493
2022-12-16,35-59,7,8,92863
2022-12-16,60-79,7,16,40368
2022-12-16,80+,7,22,17955
2022-12-17,00-04,0,119,1397
2022-12-17,05-14,0,37,4930
2022-12-17,15-34,0,412,49347
2022-12-17,35-59,0,1168,94208
2022-12-17,60-79,0,3026,41187
2022-12-17,80+,0,3842,18291
2022-12-17,00-04,1,33,1397
2022-12-17,05-14,1,4,4930
2022-12-17,15-34,1,133,49347
2022-12-17,35-59,1,327,94208
2022-12-17,60-79,1,953,41187
2022-12-17,80+,1,1176,18291
2022-12-17,00-04,2,4,1397
2022-12-17,05-14,2,3,4930
2022-12-17,15-34,2,17,49347
2022-12-17,35-59,2,57,94208
2022-12-17,60-79,2,150,41187
2022-12-17,80+,2,205,18291
2022-12-17,00-04,3,3,1397
2022-12-17,05-14,3,1,4930
2022-12-17,15-34,3,6,49347
2022-12-17,35-59,3,38,94208
2022-12-17,60-79,3,117,41187
2022-12-17,80+,3,155,18291
2022-12-17,00-04,4,2,1397
2022-12-17,05-14,4,0,4930
2022-12-17,15-34,4,5,49347
2022-12-17,35-59,4,25,94208
2022-12-17,60-79,4,70,41187
2022-12-17,80+,4,75,18291
2022-12-17,00-04,5,0,1397
2022-12-17,05-14,5,0,4930
2022-12-17,15-34,5,4,49347
2022-12-17,35-59,5,13,94208
2022-12-17,60-79,5,22,41187
2022-12-17,80+,5,33,18291
2022-12-17,00-04,6,0,1397
2022-12-17,05-14,6,0,4930
2022-12-17,15-34,6,2,49347
2022-12-17,35-59,6,5,94208
2022-12-17,60-79,6,15,41187
2022-12-17,80+,6,26,18291
2022-12-17,00-04,7,1,1397
2022-12-17,05-14,7,0,4930
2022-12-17,15-34,7,0,49347
2022-12-17,35-59,7,7,94208
2022-12-17,60-79,7,20,41187
2022-12-17,80+,7,21,18291
2022-12-18,00-04,0,117,1340
2022-12-18,05-14,0,34,4695
2022-12-18,15-34,0,399,47436
2022-12-18,35-59,0,1124,90545
2022-12-18,60-79,0,2902,39449
2022-12-18,80+,0,3647,17531
2022-12-18,00-04,1,38,1340
2022-12-18,05-14,1,7,4695
2022-12-18,15-34,1,153,47436
2022-12-18,35-59,1,368,90545
2022-12-18,60-79,1,1072,39449
2022-12-18,80+,1,1359,17531
2022-12-18,00-04,2,4,1340
2022-12-18,05-14,2,4,4695
2022-12-18,15-34,2,18,47436
2022-12-18,35-59,2,59,90545
2022-12-18,60-79,2,153,39449
2022-12-18,80+,2,221,17531
2022-12-18,00-04,3,4,1340
2022-12-18,05-14,3,1,4695
2022-12-18,15-34,3,8,47436
2022-12-18,35-59,3,41,90545
2022-12-18,60-79,3,126,39449
2022-12-18,80+,3,154,17531
2022-12-18,00-04,4,2,1340
2022-12-18,05-14,4,0,4695
2022-12-18,15-34,4,6,47436
2022-12-18,35-59,4,25,90545
2022-12-18,60-79,4,68,39449
2022-12-18,80+,4,83,17531
2022-12-18,00-04,5,0,1340
2022-12-18,05-14,5,0,4695
2022-12-18,15-34,5,4,47436
2022-12-18,35-59,5,14,90545
2022-12-18,60-79,5,24,39449
2022-12-18,80+,5,37,17531
2022-12-18,00-04,6,0,1340
2022-12-18,05-14,6,0,4695
2022-12-18,15-34,6,2,47436
2022-12-18,35-59,6,6,90545
2022-12-18,60-79,6,15,39449
2022-12-18,80+,6,27,17531
2022-12-18,00-04,7,1,1340
2022-12-18,05-14,7,0,4695
2022-12-18,15-34,7,0,47436
2022-12-18,35-59,7,7,90545
2022-12-18,60-79,7,20,39449
2022-12-18,80+,7,21,17531
2022-12-19,00-04,0,130,1292
2022-12-19,05-14,0,34,4562
2022-12-19,15-34,0,458,46483
2022-12-19,35-59,0,1283,88832
2022-12-19,60-79,0,3321,38551
2022-12-19,80+,0,4166,17091
2022-12-19,00-04,1,15,1292
2022-12-19,05-14,1,7,4562
2022-12-19,15-34,1,92,46483
2022-12-19,35-59,1,213,88832
2022-12-19,60-79,1,661,38551
2022-12-19,80+,1,859,17091
2022-12-19,00-04,2,4,1292
2022-12-19,05-14,2,5,4562
2022-12-19,15-34,2,22,46483
2022-12-19,35-59,2,72,88832
2022-12-19,60-79,2,190,38551
2022-12-19,80+,2,277,17091
2022-12-19,00-04,3,4,1292
2022-12-19,05-14,3,0,4562
2022-12-19,15-34,3,7,46483
2022-12-19,35-59,3,39,88832
2022-12-19,60-79,3,117,38551
2022-12-19,80+,3,140,17091
2022-12-19,00-04,4,2,1292
2022-12-19,05-14,4,0,4562
2022-12-19,15-34,4,5,46483
2022-12-19,35-59,4,17,88832
2022-12-19,60-79,4,57,38551
2022-12-19,80+,4,69,17091
2022-12-19,00-04,5,0,1292
2022-12-19,05-14,5,0,4562
2022-12-19,15-34,5,3,46483
2022-12-19,35-59,5,15,88832
2022-12-19,60-79,5,20,38551
2022-12-19,80+,5,34,17091
2022-12-19,00-04,6,0,1292
2022-12-19,05-14,6,0,4562
2022-12-19,15-34,6,3,46483
2022-12-19,35-59,6,5,88832
2022-12-19,60-79,6,18,38551
2022-12-19,80+,6,23,17091
2022-12-19,00-04,7,1,1292
2022-12-19,05-14,7,1,4562
2022-12-19,15-34,7,0,46483
2022-12-19,35-59,7,9,88832
2022-12-19,60-79,7,18,38551
2022-12-19,80+,7,21,17091
2022-12-20,00-04,0,125,1361
2022-12-20,05-14,0,40,4623
2022-12-20,15-34,0,486,48209
2022-12-20,35-59,0,1280,91791
2022-12-20,60-79,0,3371,40772
2022-12-20,80+,0,4283,18333
2022-12-20,00-04,1,19,1361
2022-12-20,05-14,1,9,4623
2022-12-20,15-34,1,77,48209
2022-12-20,35-59,1,222,91791
2022-12-20,60-79,1,659,40772
2022-12-20,80+,1,852,18333
2022-12-20,00-04,2,5,1361
2022-12-20,05-14,2,1,4623
2022-12-20,15-34,2,18,48209
2022-12-20,35-59,2,60,91791
2022-12-20,60-79,2,243,40772
2022-12-20,80+,2,312,18333
2022-12-20,00-04,3,3,1361
2022-12-20,05-14,3,1,4623
2022-12-20,15-34,3,4,48209
2022-12-20,35-59,3,45,91791
2022-12-20,60-79,3,112,40772
2022-12-20,80+,3,136,18333
2022-12-20,00-04,4,3,1361
2022-12-20,05-14,4,0,4623
2022-12-20,15-34,4,9,48209
2022-12-20,35-59,4,23,91791
2022-12-20,60-79,4,51,40772
2022-12-20,80+,4,71,18333
2022-12-20,00-04,5,0,1361
2022-12-20,05-14,5,0,4623
2022-12-20,15-34,5,1,48209
2022-12-20,35-59,5,10,91791
2022-12-20,60-79,5,25,40772
2022-12-20,80+,5,37,18333
2022-12-20,00-04,6,0,1361
2022-12-20,05-14,6,0,4623
2022-12-20,15-34,6,2,48209
2022-12-20,35-59,6,4,91791
2022-12-20,60-79,6,21,40772
2022-12-20,80+,6,27,18333
2022-12-20,00-04,7,2,1361
2022-12-20,05-14,7,0,4623
2022-12-20,15-34,7,1,48209
2022-12-20,35-59,7,5,91791
2022-12-20,60-79,7,11,40772
2022-12-20,80+,7,23,18333
2022-12-21,00-04,0,120,1371
2022-12-21,05-14,0,43,4422
2022-12-21,15-34,0,501,48879
2022-12-21,35-59,0,1330,92782
2022-12-21,60-79,0,3581,41965
2022-12-21,80+,0,4436,19084
2022-12-21,00-04,1,13,1371
2022-12-21,05-14,1,10,4422
2022-12-21,15-34,1,75,48879
2022-12-21,35-59,1,208,92782
2022-12-21,60-79,1,613,41965
2022-12-21,80+,1,796,19084
2022-12-21,00-04,2,8,1371
2022-12-21,05-14,2,1,4422
2022-12-21,15-34,2,24,48879
2022-12-21,35-59,2,67,92782
2022-12-21,60-79,2,301,41965
2022-12-21,80+,2,383,19084
2022-12-21,00-04,3,5,1371
2022-12-21,05-14,3,1,4422
2022-12-21,15-34,3,10,48879
2022-12-21,35-59,3,44,92782
2022-12-21,60-79,3,110,41965
2022-12-21,80+,3,128,19084
2022-12-21,00-04,4,1,1371
2022-12-21,05-14,4,0,4422
2022-12-21,15-34,4,9,48879
2022-12-21,35-59,4,27,92782
2022-12-21,60-79,4,53,41965
2022-12-21,80+,4,62,19084
2022-12-21,00-04,5,1,1371
2022-12-21,05-14,5,0,4422
2022-12-21,15-34,5,3,48879
2022-12-21,35-59,5,6,92782
2022-12-21,60-79,5,25,41965
2022-12-21,80+,5,38,19084
2022-12-21,00-04,6,0,1371
2022-12-21,05-14,6,0,4422
2022-12-21,15-34,6,3,48879
2022-12-21,35-59,6,4,92782
2022-12-21,60-79,6,26,41965
2022-12-21,80+,6,23,19084
2022-12-21,00-04,7,2,1371
2022-12-21,05-14,7,0,4422
2022-12-21,15-34,7,2,48879
2022-12-21,35-59,7,3,92782
2022-12-21,60-79,7,14,41965
2022-12-21,80+,7,16,19084
2022-12-22,00-04,0,131,1380
2022-12-22,05-14,0,47,4264
2022-12-22,15-34,0,510,48881
2022-12-22,35-59,0,1402,94060
2022-12-22,60-79,0,3711,43169
2022-12-22,80+,0,4568,19782
2022-12-22,00-04,1,10,1380
2022-12-22,05-14,1,8,4264
2022-12-22,15-34,1,80,48881
2022-12-22,35-59,1,184,94060
2022-12-22,60-79,1,594,43169
2022-12-22,80+,1,760,19782
2022-12-22,00-04,2,9,1380
2022-12-22,05-14,2,3,4264
2022-12-22,15-34,2,33,48881
2022-12-22,35-59,2,87,94060
2022-12-22,60-79,2,339,43169
2022-12-22,80+,2,408,19782
2022-12-22,00-04,3,3,1380
2022-12-22,05-14,3,0,4264
2022-12-22,15-34,3,8,48881
2022-12-22,35-59,3,48,94060
2022-12-22,60-79,3,100,43169
2022-12-22,80+,3,119,19782
2022-12-22,00-04,4,1,1380
2022-12-22,05-14,4,0,4264
2022-12-22,15-34,4,8,48881
2022-12-22,35-59,4,22,94060
2022-12-22,60-79,4,58,43169
2022-12-22,80+,4,78,19782
2022-12-22,00-04,5,0,1380
2022-12-22,05-14,5,0,4264
2022-12-22,15-34,5,3,48881
2022-12-22,35-59,5,10,94060
2022-12-22,60-79,5,25,43169
2022-12-22,80+,5,31,19782
2022-12-22,00-04,6,1,1380
2022-12-22,05-14,6,0,4264
2022-12-22,15-34,6,3,48881
2022-12-22,35-59,6,5,94060
2022-12-22,60-79,6,22,43169
2022-12-22,80+,6,21,19782
2022-12-22,00-04,7,0,1380
2022-12-22,05-14,7,0,4264
2022-12-22,15-34,7,2,48881
2022-12-22,35-59,7,3,94060
2022-12-22,60-79,7,13,43169
2022-12-22,80+,7,20,19782
2022-12-23,00-04,0,133,1375
2022-12-23,05-14,0,51,4160
2022-12-23,15-34,0,529,49033
2022-12-23,35-59,0,1394,95230
2022-12-23,60-79,0,3796,44521
2022-12-23,80+,0,4669,20684
2022-12-23,00-04,1,11,1375
2022-12-23,05-14,1,6,4160
2022-12-23,15-34,1,73,49033
2022-12-23,35-59,1,174,95230
2022-12-23,60-79,1,549,44521
2022-12-23,80+,1,786,20684
2022-12-23,00-04,2,8,1375
2022-12-23,05-14,2,3,4160
2022-12-23,15-34,2,36,49033
2022-12-23,35-59,2,106,95230
2022-12-23,60-79,2,371,44521
2022-12-23,80+,2,395,20684
2022-12-23,00-04,3,4,1375
2022-12-23,05-14,3,0,4160
2022-12-23,15-34,3,11,49033
2022-12-23,35-59,3,51,95230
2022-12-23,60-79,3,108,44521
2022-12-23,80+,3,155,20684
2022-12-23,00-04,4,0,1375
2022-12-23,05-14,4,0,4160
2022-12-23,15-34,4,7,49033
2022-12-23,35-59,4,24,95230
2022-12-23,60-79,4,51,44521
2022-12-23,80+,4,61,20684
2022-12-23,00-04,5,0,1375
2022-12-23,05-14,5,0,4160
2022-12-23,15-34,5,7,49033
2022-12-23,35-59,5,13,95230
2022-12-23,60-79,5,29,44521
2022-12-23,80+,5,33,20684
2022-12-23,00-04,6,0,1375
2022-12-23,05-14,6,0,4160
2022-12-23,15-34,6,0,49033
2022-12-23,35-59,6,6,95230
2022-12-23,60-79,6,19,44521
2022-12-23,80+,6,17,20684
2022-12-23,00-04,7,0,1375
2022-12-23,05-14,7,0,4160
2022-12-23,15-34,7,2,49033
2022-12-23,35-59,7,8,95230
2022-12-23,60-79,7,18,44521
2022-12-23,80+,7,31,20684
2022-12-24,00-04,0,127,1388
2022-12-24,05-14,0,53,4075
2022-12-24,15-34,0,486,49173
2022-12-24,35-59,0,1276,95520
2022-12-24,60-79,0,3440,45561
2022-12-24,80+,0,4204,21024
2022-12-24,00-04,1,19,1388
2022-12-24,05-14,1,7,4075
2022-12-24,15-34,1,107,49173
2022-12-24,35-59,1,284,95520
2022-12-24,60-79,1,850,45561
2022-12-24,80+,1,1178,21024
2022-12-24,00-04,2,11,1388
2022-12-24,05-14,2,3,4075
2022-12-24,15-34,2,45,49173
2022-12-24,35-59,2,132,95520
2022-12-24,60-79,2,453,45561
2022-12-24,80+,2,501,21024
2022-12-24,00-04,3,5,1388
2022-12-24,05-14,3,0,4075
2022-12-24,15-34,3,13,49173
2022-12-24,35-59,3,56,95520
2022-12-24,60-79,3,118,45561
2022-12-24,80+,3,179,21024
2022-12-24,00-04,4,0,1388
2022-12-24,05-14,4,0,4075
2022-12-24,15-34,4,9,49173
2022-12-24,35-59,4,25,95520
2022-12-24,60-79,4,63,45561
2022-12-24,80+,4,70,21024
2022-12-24,00-04,5,1,1388
2022-12-24,05-14,5,0,4075
2022-12-24,15-34,5,7,49173
2022-12-24,35-59,5,14,95520
2022-12-24,60-79,5,31,45561
2022-12-24,80+,5,37,21024
2022-12-24,00-04,6,0,1388
2022-12-24,05-14,6,0,4075
2022-12-24,15-34,6,0,49173
2022-12-24,35-59,6,4,95520
2022-12-24,60-79,6,15,45561
2022-12-24,80+,6,22,21024
2022-12-24,00-04,7,0,1388
2022-12-24,05-14,7,0,4075
2022-12-24,15-34,7,3,49173
2022-12-24,35-59,7,4,95520
2022-12-24,60-79,7,15,45561
2022-12-24,80+,7,32,21024
2022-12-25,00-04,0,122,1324
2022-12-25,05-14,0,49,3893
2022-12-25,15-34,0,465,47319
2022-12-25,35-59,0,1229,91982
2022-12-25,60-79,0,3315,43865
2022-12-25,80+,0,4008,20226
2022-12-25,00-04,1,25,1324
2022-12-25,05-14,1,6,3893
2022-12-25,15-34,1,121,47319
2022-12-25,35-59,1,307,91982
2022-12-25,60-79,1,948,43865
2022-12-25,80+,1,1280,20226
2022-12-25,00-04,2,13,1324
2022-12-25,05-14,2,3,3893
2022-12-25,15-34,2,48,47319
2022-12-25,35-59,2,137,91982
2022-12-25,60-79,2,465,43865
2022-12-25,80+,2,529,20226
2022-12-25,00-04,3,5,1324
2022-12-25,05-14,3,0,3893
2022-12-25,15-34,3,15,47319
2022-12-25,35-59,3,57,91982
2022-12-25,60-79,3,122,43865
2022-12-25,80+,3,177,20226
2022-12-25,00-04,4,0,1324
2022-12-25,05-14,4,0,3893
2022-12-25,15-34,4,9,47319
2022-12-25,35-59,4,26,91982
2022-12-25,60-79,4,61,43865
2022-12-25,80+,4,69,20226
2022-12-25,00-04,5,1,1324
2022-12-25,05-14,5,0,3893
2022-12-25,15-34,5,7,47319
2022-12-25,35-59,5,14,91982
2022-12-25,60-79,5,32,43865
2022-12-25,80+,5,40,20226
2022-12-25,00-04,6,0,1324
2022-12-25,05-14,6,0,3893
2022-12-25,15-34,6,0,47319
2022-12-25,35-59,6,4,91982
2022-12-25,60-79,6,16,43865
2022-12-25,80+,6,23,20226
2022-12-25,00-04,7,0,1324
2022-12-25,05-14,7,0,3893
2022-12-25,15-34,7,2,47319
2022-12-25,35-59,7,4,91982
2022-12-25,60-79,7,15,43865
2022-12-25,80+,7,30,20226
2022-12-26,00-04,0,120,1292
2022-12-26,05-14,0,48,3779
2022-12-26,15-34,0,447,46290
2022-12-26,35-59,0,1178,89979
2022-12-26,60-79,0,3171,42892
2022-12-26,80+,0,3820,19719
2022-12-26,00-04,1,36,1292
2022-12-26,05-14,1,7,3779
2022-12-26,15-34,1,149,46290
2022-12-26,35-59,1,379,89979
2022-12-26,60-79,1,1191,42892
2022-12-26,80+,1,1546,19719
2022-12-26,00-04,2,8,1292
2022-12-26,05-14,2,2,3779
2022-12-26,15-34,2,40,46290
2022-12-26,35-59,2,114,89979
2022-12-26,60-79,2,370,42892
2022-12-26,80+,2,426,19719
2022-12-26,00-04,3,6,1292
2022-12-26,05-14,3,0,3779
2022-12-26,15-34,3,12,46290
2022-12-26,35-59,3,52,89979
2022-12-26,60-79,3,99,42892
2022-12-26,80+,3,145,19719
2022-12-26,00-04,4,0,1292
2022-12-26,05-14,4,0,3779
2022-12-26,15-34,4,11,46290
2022-12-26,35-59,4,23,89979
2022-12-26,60-79,4,56,42892
2022-12-26,80+,4,64,19719
2022-12-26,00-04,5,1,1292
2022-12-26,05-14,5,0,3779
2022-12-26,15-34,5,4,46290
2022-12-26,35-59,5,8,89979
2022-12-26,60-79,5,34,42892
2022-12-26,80+,5,38,19719
2022-12-26,00-04,6,0,1292
2022-12-26,05-14,6,0,3779
2022-12-26,15-34,6,1,46290
2022-12-26,35-59,6,4,89979
2022-12-26,60-79,6,13,42892
2022-12-26,80+,6,22,19719
2022-12-26,00-04,7,0,1292
2022-12-26,05-14,7,0,3779
2022-12-26,15-34,7,2,46290
2022-12-26,35-59,7,7,89979
2022-12-26,60-79,7,14,42892
2022-12-26,80+,7,32,19719
2022-12-27,00-04,0,96,949
2022-12-27,05-14,0,35,2818
2022-12-27,15-34,0,373,35594
2022-12-27,35-59,0,1011,69272
2022-12-27,60-79,0,2663,32717
2022-12-27,80+,0,3226,14880
2022-12-27,00-04,1,23,949
2022-12-27,05-14,1,6,2818
2022-12-27,15-34,1,89,35594
2022-12-27,35-59,1,223,69272
2022-12-27,60-79,1,783,32717
2022-12-27,80+,1,984,14880
2022-12-27,00-04,2,8,949
2022-12-27,05-14,2,0,2818
2022-12-27,15-34,2,38,35594
2022-12-27,35-59,2,76,69272
2022-12-27,60-79,2,254,32717
2022-12-27,80+,2,274,14880
2022-12-27,00-04,3,2,949
2022-12-27,05-14,3,0,2818
2022-12-27,15-34,3,10,35594
2022-12-27,35-59,3,31,69272
2022-12-27,60-79,3,77,32717
2022-12-27,80+,3,102,14880
2022-12-27,00-04,4,0,949
2022-12-27,05-14,4,0,2818
2022-12-27,15-34,4,10,35594
2022-12-27,35-59,4,24,69272
2022-12-27,60-79,4,38,32717
2022-12-27,80+,4,48,14880
2022-12-27,00-04,5,1,949
2022-12-27,05-14,5,0,2818
2022-12-27,15-34,5,2,35594
2022-12-27,35-59,5,2,69272
2022-12-27,60-79,5,24,32717
2022-12-27,80+,5,21,14880
2022-12-27,00-04,6,0,949
2022-12-27,05-14,6,0,2818
2022-12-27,15-34,6,0,35594
2022-12-27,35-59,6,4,69272
2022-12-27,60-79,6,11,32717
2022-12-27,80+,6,16,14880
2022-12-27,00-04,7,0,949
2022-12-27,05-14,7,0,2818
2022-12-27,15-34,7,1,35594
2022-12-27,35-59,7,9,69272
2022-12-27,60-79,7,10,32717
2022-12-27,80+,7,24,14880
2022-12-28,00-04,0,133,1161
2022-12-28,05-14,0,34,2910
2022-12-28,15-34,0,368,37319
2022-12-28,35-59,0,1028,71616
2022-12-28,60-79,0,2706,36558
2022-12-28,80+,0,3342,16575
2022-12-28,00-04,1,24,1161
2022-12-28,05-14,1,8,2910
2022-12-28,15-34,1,99,37319
2022-12-28,35-59,1,250,71616
2022-12-28,60-79,1,832,36558
2022-12-28,80+,1,1065,16575
2022-12-28,00-04,2,7,1161
2022-12-28,05-14,2,0,2910
2022-12-28,15-34,2,40,37319
2022-12-28,35-59,2,71,71616
2022-12-28,60-79,2,253,36558
2022-12-28,80+,2,289,16575
2022-12-28,00-04,3,1,1161
2022-12-28,05-14,3,0,2910
2022-12-28,15-34,3,8,37319
2022-12-28,35-59,3,28,71616
2022-12-28,60-79,3,78,36558
2022-12-28,80+,3,100,16575
2022-12-28,00-04,4,0,1161
2022-12-28,05-14,4,0,2910
2022-12-28,15-34,4,3,37319
2022-12-28,35-59,4,19,71616
2022-12-28,60-79,4,39,36558
2022-12-28,80+,4,47,16575
2022-12-28,00-04,5,1,1161
2022-12-28,05-14,5,0,2910
2022-12-28,15-34,5,2,37319
2022-12-28,35-59,5,3,71616
2022-12-28,60-79,5,26,36558
2022-12-28,80+,5,39,16575
2022-12-28,00-04,6,0,1161
2022-12-28,05-14,6,0,2910
2022-12-28,15-34,6,0,37319
2022-12-28,35-59,6,4,71616
2022-12-28,60-79,6,9,36558
2022-12-28,80+,6,14,16575
2022-12-28,00-04,7,0,1161
2022-12-28,05-14,7,1,2910
2022-12-28,15-34,7,1,37319
2022-12-28,35-59,7,10,71616
2022-12-28,60-79,7,13,36558
2022-12-28,80+,7,21,16575
2022-12-29,00-04,0,140,1179
2022-12-29,05-14,0,29,2672
2022-12-29,15-34,0,356,35838
2022-12-29,35-59,0,993,70612
2022-12-29,60-79,0,2695,35757
2022-12-29,80+,0,3414,15882
2022-12-29,00-04,1,33,1179
2022-12-29,05-14,1,10,2672
2022-12-29,15-34,1,102,35838
2022-12-29,35-59,1,242,70612
2022-12-29,60-79,1,808,35757
2022-12-29,80+,1,1060,15882
2022-12-29,00-04,2,8,1179
2022-12-29,05-14,2,0,2672
2022-12-29,15-34,2,39,35838
2022-12-29,35-59,2,70,70612
2022-12-29,60-79,2,202,35757
2022-12-29,80+,2,251,15882
2022-12-29,00-04,3,1,1179
2022-12-29,05-14,3,1,2672
2022-12-29,15-34,3,9,35838
2022-12-29,35-59,3,33,70612
2022-12-29,60-79,3,82,35757
2022-12-29,80+,3,102,15882
2022-12-29,00-04,4,2,1179
2022-12-29,05-14,4,0,2672
2022-12-29,15-34,4,4,35838
2022-12-29,35-59,4,13,70612
2022-12-29,60-79,4,42,35757
2022-12-29,80+,4,47,15882
2022-12-29,00-04,5,1,1179
2022-12-29,05-14,5,0,2672
2022-12-29,15-34,5,1,35838
2022-12-29,35-59,5,3,70612
2022-12-29,60-79,5,23,35757
2022-12-29,80+,5,33,15882
2022-12-29,00-04,6,0,1179
2022-12-29,05-14,6,0,2672
2022-12-29,15-34,6,1,35838
2022-12-29,35-59,6,5,70612
2022-12-29,60-79,6,11,35757
2022-12-29,80+,6,17,15882
2022-12-29,00-04,7,1,1179
2022-12-29,05-14,7,1,2672
2022-12-29,15-34,7,1,35838
2022-12-29,35-59,7,7,70612
2022-12-29,60-79,7,15,35757
2022-12-29,80+,7,21,15882
2022-12-30,00-04,0,143,1159
2022-12-30,05-14,0,35,2356
2022-12-30,15-34,0,348,33855
2022-12-30,35-59,0,946,67818
2022-12-30,60-79,0,2614,34097
2022-12-30,80+,0,3348,15216
2022-12-30,00-04,1,43,1159
2022-12-30,05-14,1,3,2356
2022-12-30,15-34,1,103,33855
2022-12-30,35-59,1,259,67818
2022-12-30,60-79,1,815,34097
2022-12-30,80+,1,1042,15216
2022-12-30,00-04,2,9,1159
2022-12-30,05-14,2,1,2356
2022-12-30,15-34,2,34,33855
2022-12-30,35-59,2,74,67818
2022-12-30,60-79,2,202,34097
2022-12-30,80+,2,263,15216
2022-12-30,00-04,3,1,1159
2022-12-30,05-14,3,0,2356
2022-12-30,15-34,3,5,33855
2022-12-30,35-59,3,25,67818
2022-12-30,60-79,3,66,34097
2022-12-30,80+,3,76,15216
2022-12-30,00-04,4,2,1159
2022-12-30,05-14,4,0,2356
2022-12-30,15-34,4,3,33855
2022-12-30,35-59,4,12,67818
2022-12-30,60-79,4,41,34097
2022-12-30,80+,4,58,15216
2022-12-30,00-04,5,1,1159
2022-12-30,05-14,5,0,2356
2022-12-30,15-34,5,2,33855
2022-12-30,35-59,5,4,67818
2022-12-30,60-79,5,19,34097
2022-12-30,80+,5,35,15216
2022-12-30,00-04,6,1,1159
2022-12-30,05-14,6,0,2356
2022-12-30,15-34,6,2,33855
2022-12-30,35-59,6,4,67818
2022-12-30,60-79,6,9,34097
2022-12-30,80+,6,19,15216
2022-12-30,00-04,7,0,1159
2022-12-30,05-14,7,0,2356
2022-12-30,15-34,7,1,33855
2022-12-30,35-59,7,7,67818
2022-12-30,60-79,7,15,34097
2022-12-30,80+,7,17,15216
2022-12-31,00-04,0,126,1106
2022-12-31,05-14,0,34,2181
2022-12-31,15-34,0,300,31430
2022-12-31,35-59,0,797,63617
2022-12-31,60-79,0,2242,31549
2022-12-31,80+,0,2858,14303
2022-12-31,00-04,1,50,1106
2022-12-31,05-14,1,6,2181
2022-12-31,15-34,1,136,31430
2022-12-31,35-59,1,311,63617
2022-12-31,60-79,1,1016,31549
2022-12-31,80+,1,1292,14303
2022-12-31,00-04,2,13,1106
2022-12-31,05-14,2,1,2181
2022-12-31,15-34,2,38,31430
2022-12-31,35-59,2,79,63617
2022-12-31,60-79,2,228,31549
2022-12-31,80+,2,302,14303
2022-12-31,00-04,3,0,1106
2022-12-31,05-14,3,0,2181
2022-12-31,15-34,3,3,31430
2022-12-31,35-59,3,30,63617
2022-12-31,60-79,3,62,31549
2022-12-31,80+,3,68,14303
2022-12-31,00-04,4,1,1106
2022-12-31,05-14,4,0,2181
2022-12-31,15-34,4,4,31430
2022-12-31,35-59,4,13,63617
2022-12-31,60-79,4,39,31549
2022-12-31,80+,4,57,14303
2022-12-31,00-04,5,1,1106
2022-12-31,05-14,5,0,2181
2022-12-31,15-34,5,2,31430
2022-12-31,35-59,5,4,63617
