s,a,k,h,I
2021-04-14,00-04,4,5,4221
2021-04-14,05-14,4,1,10739
2021-04-14,15-34,4,11,39903
2021-04-14,35-59,4,68,50699
2021-04-14,60-79,4,81,17751
2021-04-14,80+,4,32,3898
2021-04-14,00-04,5,1,4221
2021-04-14,05-14,5,5,10739
2021-04-14,15-34,5,4,39903
2021-04-14,35-59,5,27,50699
2021-04-14,60-79,5,56,17751
2021-04-14,80+,5,10,3898
2021-04-14,00-04,6,1,4221
2021-04-14,05-14,6,0,10739
2021-04-14,15-34,6,6,39903
2021-04-14,35-59,6,26,50699
2021-04-14,60-79,6,39,17751
2021-04-14,80+,6,12,3898
2021-04-14,00-04,7,4,4221
2021-04-14,05-14,7,1,10739
2021-04-14,15-34,7,10,39903
2021-04-14,35-59,7,35,50699
2021-04-14,60-79,7,27,17751
2021-04-14,80+,7,11,3898
2021-04-15,00-04,0,87,4566
2021-04-15,05-14,0,62,11913
2021-04-15,15-34,0,522,42209
2021-04-15,35-59,0,1190,51892
2021-04-15,60-79,0,1546,18312
2021-04-15,80+,0,871,4051
2021-04-15,00-04,1,13,4566
2021-04-15,05-14,1,7,11913
2021-04-15,15-34,1,140,42209
2021-04-15,35-59,1,488,51892
2021-04-15,60-79,1,592,18312
2021-04-15,80+,1,241,4051
2021-04-15,00-04,2,4,4566
2021-04-15,05-14,2,0,11913
2021-04-15,15-34,2,53,42209
2021-04-15,35-59,2,282,51892
2021-04-15,60-79,2,338,18312
2021-04-15,80+,2,111,4051
2021-04-15,00-04,3,5,4566
2021-04-15,05-14,3,4,11913
2021-04-15,15-34,3,21,42209
2021-04-15,35-59,3,117,51892
2021-04-15,60-79,3,161,18312
2021-04-15,80+,3,61,4051
2021-04-15,00-04,4,1,4566
2021-04-15,05-14,4,1,11913
2021-04-15,15-34,4,8,42209
2021-04-15,35-59,4,47,51892
2021-04-15,60-79,4,62,18312
2021-04-15,80+,4,22,4051
2021-04-15,00-04,5,1,4566
2021-04-15,05-14,5,4,11913
2021-04-15,15-34,5,9,42209
2021-04-15,35-59,5,33,51892
2021-04-15,60-79,5,64,18312
2021-04-15,80+,5,19,4051
2021-04-15,00-04,6,2,4566
2021-04-15,05-14,6,0,11913
2021-04-15,15-34,6,5,42209
2021-04-15,35-59,6,25,51892
2021-04-15,60-79,6,33,18312
2021-04-15,80+,6,10,4051
2021-04-15,00-04,7,4,4566
2021-04-15,05-14,7,2,11913
2021-04-15,15-34,7,9,42209
2021-04-15,35-59,7,39,51892
2021-04-15,60-79,7,33,18312
