N,N_mse,mean_bias,mean_var,var_bias,var_var,ef,method
10,100,,,,,99.72782569032421,LA
10,100,,,,,99.36501488446707,LA
10,100,,,,,99.42278761753013,LA
10,100,,,,,99.68322167357077,LA
10,100,,,,,99.30210789179756,LA
10,100,,,,,98.82015178900382,LA
10,100,,,,,99.62080353678384,LA
10,100,,,,,98.52754392660191,LA
10,100,,,,,99.19822621066997,LA
10,100,,,,,99.75425216178145,LA
10,100,,,,,99.01740928177915,LA
10,100,,,,,99.24054624445372,LA
10,100,,,,,99.81827226983795,LA
10,100,,,,,99.2269317403954,LA
10,100,,,,,99.83068938005648,LA
10,100,,,,,99.5106005974995,LA
10,100,,,,,97.44304147401056,LA
10,100,,,,,99.61579278794694,LA
10,100,,,,,99.55930658696523,LA
10,100,,,,,99.09018665399758,LA
10,100,,,,,99.85688578597417,LA
10,100,,,,,98.72315620139698,LA
10,100,,,,,99.48835726143516,LA
10,100,,,,,99.74777865216858,LA
10,100,,,,,99.8082058717573,LA
10,100,,,,,99.58214514894695,LA
10,100,,,,,99.76821834695228,LA
10,100,,,,,99.44269758633348,LA
10,100,,,,,99.62861359263094,LA
10,100,,,,,99.14611713251735,LA
10,100,,,,,99.4728538374658,LA
10,100,,,,,99.87714307942251,LA
18,100,,,,,98.89020138517682,LA
18,100,,,,,99.44485462894471,LA
18,100,,,,,98.59779716927801,LA
18,100,,,,,99.57820797079631,LA
18,100,,,,,99.72592728020503,LA
18,100,,,,,99.03980620382329,LA
18,100,,,,,99.45526592248645,LA
18,100,,,,,98.79499739491382,LA
18,100,,,,,98.91489260046339,LA
18,100,,,,,98.97990349542266,LA
18,100,,,,,99.48584749102183,LA
18,100,,,,,99.78189826878565,LA
18,100,,,,,99.84957744700469,LA
18,100,,,,,99.63338271156988,LA
18,100,,,,,98.50793154722624,LA
18,100,,,,,99.80299403712559,LA
18,100,,,,,98.51345903542223,LA
18,100,,,,,99.5869400259823,LA
18,100,,,,,98.94832321833805,LA
18,100,,,,,99.38730347311106,LA
18,100,,,,,99.58899035124331,LA
18,100,,,,,99.33668723116017,LA
18,100,,,,,99.7615584356944,LA
18,100,,,,,99.4726756804285,LA
18,100,,,,,98.9323062142836,LA
18,100,,,,,99.69598180595379,LA
18,100,,,,,99.21003797672812,LA
18,100,,,,,99.76415034925093,LA
18,100,,,,,99.6666346710556,LA
18,100,,,,,99.24320956652176,LA
18,100,,,,,99.13565948134746,LA
18,100,,,,,99.79197239571069,LA
18,100,,,,,99.4942232840558,LA
18,100,,,,,98.86206107874148,LA
18,100,,,,,98.96429238259495,LA
18,100,,,,,99.59689553527976,LA
18,100,,,,,99.63972989993734,LA
18,100,,,,,99.2822474979327,LA
18,100,,,,,99.48428559364075,LA
18,100,,,,,99.49484417429592,LA
18,100,,,,,99.58118050968436,LA
18,100,,,,,99.27355356959275,LA
18,100,,,,,99.13136432698948,LA
18,100,,,,,99.69387268079204,LA
18,100,,,,,97.38482978319047,LA
18,100,,,,,98.7728967282046,LA
18,100,,,,,99.33024264327418,LA
18,100,,,,,99.33613658110974,LA
18,100,,,,,99.67160192180758,LA
18,100,,,,,99.35059567135815,LA
18,100,,,,,97.78015488015309,LA
18,100,,,,,99.55223463139647,LA
18,100,,,,,99.57231889733121,LA
18,100,,,,,99.28519955751453,LA
18,100,,,,,99.40159500567825,LA
18,100,,,,,99.27500503787378,LA
18,100,,,,,99.22044423186503,LA
18,100,,,,,99.25589661012712,LA
18,100,,,,,99.59965466516425,LA
18,100,,,,,99.28177995964072,LA
18,100,,,,,98.31286277489534,LA
18,100,,,,,99.32189682613254,LA
18,100,,,,,99.74966404739317,LA
18,100,,,,,99.8343018398191,LA
18,100,,,,,99.35903960222066,LA
18,100,,,,,98.78038912351535,LA
18,100,,,,,99.3825702777554,LA
18,100,,,,,99.36688520781998,LA
18,100,,,,,99.63449929720728,LA
18,100,,,,,98.40108002070025,LA
18,100,,,,,99.27203141739201,LA
18,100,,,,,99.57404997463833,LA
18,100,,,,,99.45813140103265,LA
18,100,,,,,99.3488294261002,LA
18,100,,,,,99.5813284961313,LA
18,100,,,,,99.26494690086768,LA
18,100,,,,,99.32339968369264,LA
18,100,,,,,99.69963354253619,LA
18,100,,,,,99.42185099882069,LA
18,100,,,,,99.46950982272595,LA
18,100,,,,,99.62263964522265,LA
18,100,,,,,99.02782216921136,LA
18,100,,,,,99.57005169604055,LA
18,100,,,,,99.81143042740074,LA
18,100,,,,,99.02215198993076,LA
18,100,,,,,99.07258438342096,LA
18,100,,,,,99.69761399823217,LA
18,100,,,,,99.75889554028308,LA
18,100,,,,,98.56916395086226,LA
18,100,,,,,99.3227298772816,LA
18,100,,,,,99.43225152323372,LA
18,100,,,,,99.15753690267024,LA
18,100,,,,,99.2097880339682,LA
18,100,,,,,99.48848427968441,LA
18,100,,,,,99.75960801239361,LA
18,100,,,,,99.6704069338363,LA
18,100,,,,,99.62009319690007,LA
18,100,,,,,99.3469023096283,LA
18,100,,,,,98.61054165147303,LA
